env    region    zone   visibility   subnet
qa     useast1   a      public       subnet-aaaa
qa     useast1   a      private      subnet-bbbb
qa     useast1   b      public       subnet-cccc
qa     useast1   b      private      subnet-dddd
qa     useast1   c      public       subnet-eeee
qa     useast1   c      private      subnet-ffff
qa     euwest1   a      public       subnet-gggg
qa     euwest1   a      private      subnet-hhhh
qa     euwest1   b      public       subnet-iiii
qa     euwest1   b      private      subnet-jjjj
qa     euwest1   c      public       subnet-kkkk
qa     euwest1   c      private      subnet-llll
prod   useast1   a      public       subnet-mmmm
prod   useast1   a      private      subnet-nnnn
prod   useast1   b      public       subnet-oooo
prod   useast1   b      private      subnet-pppp
prod   useast1   c      public       subnet-qqqq
prod   useast1   c      private      subnet-rrrr
prod   euwest1   a      public       subnet-ssss
prod   euwest1   a      private      subnet-tttt
prod   euwest1   b      public       subnet-uuuu
prod   euwest1   b      private      subnet-vvvv
prod   euwest1   c      public       subnet-wwww
prod   euwest1   c      private      subnet-xxxx
